doi,title,abstract,authors,references
https://doi.org/10.1145/2939672.2945357,Graphons and Machine Learning: Modeling and Estimation of Sparse Massive Networks,"There are numerous examples of sparse massive networks, in particular the Internet, WWW and online social networks. How do we model and learn these networks? In contrast to conventional learning problems, where we have many independent samples, it is often the case for these networks that we can get only one independent sample. How do we use a single snapshot today to learn a model for the network, and therefore be able to predict a similar, but larger network in the future? In the case of relatively small or moderately sized networks, it's appropriate to model the network parametrically, and attempt to learn these parameters. For massive networks, a non-parametric representation is more appropriate. In this talk, we first review the theory of graphons, developed over the last decade to describe limits of dense graphs, and the more the recent theory describing sparse graphs of unbounded average degree, including power-law graphs. We then show how to use these graphons as non-parametric models for sparse networks. Finally, we show how to get consistent estimators of these non-parametric models, and moreover how to do this in a way that protects the privacy of individuals on the network.","[{""name"":""Jennifer Chayes"",""id"":""/profile/81100381767""},{""name"":""Jennifer Chayes"",""id"":""/profile/81100381767""}]",null
https://doi.org/10.1145/2939672.2945358,Learning to Learn and Compositionality with Deep Recurrent Neural Networks: Learning to Learn and Compositionality,"Deep neural network representations play an important role in computer vision, speech, computational linguistics, robotics, reinforcement learning and many other data-rich domains. In this talk I will show that learning-to-learn and compositionality are key ingredients for dealing with knowledge transfer so as to solve a wide range of tasks, for dealing with small-data regimes, and for continual learning. I will demonstrate this with several examples from my research team: learning to learn by gradient descent by gradient descent, neural programmers and interpreters, and learning communication.","[{""name"":""Nando de Freitas"",""id"":""/profile/81335489736""},{""name"":""Nando de Freitas"",""id"":""/profile/81335489736""}]","[""M. Andrychowicz, M. Denil, S. Gomez, M. W. Hoffman, D. Pfau, T. Schaul, and N. de Freitas. Learning to learn by gradient descent by gradient descent. ArXiv preprint 1606.04474, 2016.Google Scholar"",""J. N. Foerster, Y. M. Assael, N. de Freitas, and S. Whiteson. Learning to communicate with deep multi-agent reinforcement learning. ArXiv preprint 1605.06676, 2016.Google Scholar"",""S. E. Reed and N. de Freitas. Neural programmer-interpreters. In International Conference on Learning Representations, 2016.Google Scholar""]"
https://doi.org/10.1145/2939672.2949031,The Evolving Meaning of Information Security,"When you are developing security systems, new penetration techniques seem to appear as responses to new security measures but in general the flow is the other way around: security exists and evolves because of the evolution of threats. Beginning with the rise of radio in the 20th Century attacks on communication networks have shown two forms: those that go for the big kill --- such as the breaking of Enigma --- and those that assemble small seemingly innocuous leaks of information into a comprehensive understanding of the target's behavior. We will analyze the way in which these trends interact with others to create a situation in which what is possible in security and even the meaning of security in communication networks needs reexamination.","[{""name"":""Whitfield Diffie"",""id"":""/profile/81100513962""},{""name"":""Whitfield Diffie"",""id"":""/profile/81100513962""}]",null
https://doi.org/10.1145/2939672.2945356,"People, Computers, and The Hot Mess of Real Data","In practice, end-to-end data analysis is rarely a cleanly engineered process. Acquiring data can be tricky. Data assessment, wrangling and feature extraction are time-consuming and subjective. Models and algorithms used to derive data products are highly contextualized by time-varying properties of data sources, code and application needs. All of these issues would ideally benefit from an organizational view, but are often driven by individual users. Viewed holistically, both agile analytics and the establishment of analytic pipelines involve interactions between people, computation and infrastructure. In this talk I'll share some anecdotes from our research, user studies, and field experience with companies (Trifacta, Captricity), as well as an emerging open-source project (Ground).","[{""name"":""Joseph M. Hellerstein"",""id"":""/profile/81406597364""},{""name"":""Joseph M. Hellerstein"",""id"":""/profile/81406597364""}]",null
https://doi.org/10.1145/2939672.2945359,A VC View of Investing in ML,"We are seeing a remarkable watershed in the application of data science across markets and industries. A trifecta of advances in algorithms, cheap cycles, and the capture of networked data from everywhere are no doubt the catalysts. The results for many are continuous improvements in efficiencies, and for some are a fundamental re-imagination and disruption of just about every industry. This talk will give examples we are seeing (and funding!) for the latter, and then focus on our views of the ecosystem of value-from-data infrastructure and end-application companies. A big question is whether the enormous collective advances in tools, techniques and education are in-fact converting would-be differentiated products into democratized features used everywhere. We'll follow the value and make our own predictions on future as ML as a business.","[{""name"":""Greg Papadopoulos"",""id"":""/profile/99659061589""},{""name"":""Greg Papadopoulos"",""id"":""/profile/99659061589""}]",null
https://doi.org/10.1145/2939672.2945369,Big Data Needs Big Dreamers: Lessons from Successful Big Data Investors,No abstract available.,"[{""name"":""Evangelos Simoudis"",""id"":""/profile/81100640875""},{""name"":""Mark Gorenberg"",""id"":""/profile/99658718883""},{""name"":""Tim Guleri"",""id"":""/profile/99659061218""},{""name"":""Matt Ocko"",""id"":""/profile/99659061229""},{""name"":""Greg Sands"",""id"":""/profile/99659061527""},{""name"":""Evangelos Simoudis"",""id"":""/profile/81100640875""},{""name"":""Mark Gorenberg"",""id"":""/profile/99658718883""},{""name"":""Tim Guleri"",""id"":""/profile/99659061218""},{""name"":""Matt Ocko"",""id"":""/profile/99659061229""},{""name"":""Greg Sands"",""id"":""/profile/99659061527""}]",null
https://doi.org/10.1145/2939672.2939702,Designing Policy Recommendations to Reduce Home Abandonment in Mexico,"Infonavit, the largest provider of mortgages in Mexico, assists working families to obtain low-interest rate housing solutions. An increasingly prevalent problem is home abandonment: when a homeowner decides to leave their property and forego their investment. A major causal factor of this outcome is a mismatch between the homeowner's needs, in terms of access to services and employment, and the location characteristics of the home. This paper describes our collaboration with Infonavit to reduce home abandonment at two levels: develop policy recommendations for targeted improvements in location characteristics, and develop a decision-support tool to assist the homeowner in the home location decision. Using 20 years of mortgage history data combined with surveys, census, and location information, we develop a model to predict the probability of home abandonment based on both individual and location characteristics. The model is used to develop a tool that provides Infonavit the ability to give advice to Mexican workers when they apply for a loan, evaluate and improve the locations of new housing developments, and provide data-driven recommendations to the federal government to influence local development initiatives and infrastructure investments. The result is improving economic outcomes for the citizens of Mexico by pre-emptively identifying at-risk home mortgages, thereby allowing them to be altered or remedied before they result in abandonment.","[{""name"":""Klaus Ackermann"",""id"":""/profile/99659060989""},{""name"":""Eduardo Blancas Reyes"",""id"":""/profile/99659061681""},{""name"":""Sue He"",""id"":""/profile/99659060451""},{""name"":""Thomas Anderson Keller"",""id"":""/profile/99659060629""},{""name"":""Paul van der Boor"",""id"":""/profile/99659061210""},{""name"":""Romana Khan"",""id"":""/profile/99659061227""},{""name"":""Rayid Ghani"",""id"":""/profile/81100427240""},{""name"":""José Carlos González"",""id"":""/profile/99659061173""},{""name"":""Klaus Ackermann"",""id"":""/profile/99659060989""},{""name"":""Eduardo Blancas Reyes"",""id"":""/profile/99659061681""},{""name"":""Sue He"",""id"":""/profile/99659060451""},{""name"":""Thomas Anderson Keller"",""id"":""/profile/99659060629""},{""name"":""Paul van der Boor"",""id"":""/profile/99659061210""},{""name"":""Romana Khan"",""id"":""/profile/99659061227""},{""name"":""Rayid Ghani"",""id"":""/profile/81100427240""},{""name"":""José Carlos González"",""id"":""/profile/99659061173""}]","[""Desinventar. Inventory system of the effects of disasters. http://www.desinventar.org/en, 2013. {Online; accessed 09-September-2015}.Google Scholar"",""INEGI. Descarga masiva. http://www3.inegi.org.mx/sistemas/descarga/, 2013. {Online; accessed 09-September-2015}.Google Scholar"",""INEGI. Directorio estadstico nactional de unidades económicas. http://www.inegi.org.mx/est/contenidos/proyectos/denue/presentacion.aspx, 2015. {Online; accessed 09-September-2015}.Google Scholar"",""Infonavit. Qué hago para cumplir. http://portal.infonavit.org.mx/wps/wcm/connect/infonavit/patrones/mis_compromisos/que+hago+para+cumplir. {Online; accessed 09-September-2015}.Google Scholar"",""F. Pedregosa, G. Varoquaux, A. Gramfort, V. Michel, B. Thirion, O. Grisel, M. Blondel, P. Prettenhofer, R. Weiss, V. Dubourg, J. Vanderplas, A. Passos, D. Cournapeau, M. Brucher, M. Perrot, and E. Duchesnay. Scikit-learn: Machine learning in Python. Journal of Machine Learning Research, 12:2825--2830, 2011. Google Scholar"",""Google. The Google Maps Geocoding API. https://developers.google.com/maps/documentation/geocoding/intro, 2016. {Online; accessed 15-January-2016}.Google Scholar"",""United States Census Bureau. Geocoder. http://geocoding.geo.census.gov, 2010. {Online; accessed 15-January-2016}.Google Scholar""]"
https://doi.org/10.1145/2939672.2939694,Aircraft Trajectory Prediction Made Easy with Predictive Analytics,"At the heart of Air Traffic Management (ATM) lies the Decision Support Systems (DST) that rely upon accurate trajectory prediction to determine how the airspace will look like in the future to make better decisions and advisories. Dealing with airspace that is prone to congestion due to environmental factors still remains the challenge especially when a deterministic approach is used in the trajectory prediction process. In this paper, we describe a novel stochastic trajectory prediction approach for ATM that can be used for more efficient and realistic flight planning and to assist airspace flow management, potentially resulting in higher safety, capacity, and efficiency commensurate with fuel savings thereby reducing emissions for a better environment. Our approach considers airspace as a 3D grid network, where each grid point is a location of a weather observation. We hypothetically build cubes around these grid points, so the entire airspace can be considered as a set of cubes. Each cube is defined by its centroid, the original grid point, and associated weather parameters that remain homogeneous within the cube during a period of time. Then, we align raw trajectories to a set of cube centroids which are basically fixed 3D positions independent of trajectory data. This creates a new form of trajectories which are 4D joint cubes, where each cube is a segment that is associated with not only spatio-temporal attributes but also with weather parameters. Next, we exploit machine learning techniques to train inference models from historical data and apply a stochastic model, a Hidden Markov Model (HMM), to predict trajectories taking environmental uncertainties into account. During the process, we apply time series clustering to generate input observations from an excessive set of weather parameters to feed into the Viterbi algorithm. Our experiments use a real trajectory dataset with pertaining weather observations and demonstrate the effectiveness of our approach to the trajectory prediction process for ATM.","[{""name"":""Samet Ayhan"",""id"":""/profile/81555306456""},{""name"":""Hanan Samet"",""id"":""/profile/81100139629""},{""name"":""Samet Ayhan"",""id"":""/profile/81555306456""},{""name"":""Hanan Samet"",""id"":""/profile/81100139629""}]","[""Action plan 16: Common trajectory prediction capability. https://acy.tc.faa.gov/cpat/tjm/TP_Requirements_Engineering_Methodology.pdf.Google Scholar"",""Aircraft operating expenses. http://www.opshots.net/2015/04/aircraft-operating-series-aircraft-operating-expenses/.Google Scholar"",""Aircraft situation display to industry. http://www.fly.faa.gov/ASDI/asdi.html.Google Scholar"",""Definition of an aircraft trajectory by icao. http://ap16.atmrt.org/.Google Scholar"",""Google earth. https://www.google.com/earth//.Google Scholar"",""Grib2 documentation. http://www.nco.ncep.noaa.gov/pmb/docs/grib2/grib2_doc.shtml.Google Scholar"",""Ncep wmo grib2 documentation. http://www.nco.ncep.noaa.gov/pmb/docs/grib2/grib2_doc.shtml.Google Scholar"",""G. Avanzini. Frenet-based algorithm for trajectory prediction. Journal of Guidance, Control, and Dynamics, 27(1):127--135, January 2004.Google Scholar"",""S. Ayhan and H. Samet. Diclerge: Divide-cluster-merge framework for clustering aircraft trajectories. In Proceedings of the 8th ACM SIGSPATIAL IWCTS, Seattle, WA, November 2015.Google Scholar"",""J. Benavides, J. Kaneshige, S. Sharma, R. Panda, and M. Steglinski. Implementation of trajectory prediction function for trajectory based operations. In AIAA Atmospheric Flight Mechanics Conference, Atlanta, GA, 2014.Google Scholar"",""J. Bronsvoort, G. McDonald, J. Lopez-Leones, and H. Visser. Improved trajectory prediction for air traffic management by simulation of guidance logic and inferred aircraft intent using existing data-link technology. In AIAA GNC Conference and Exhibit, Minneapolis, MN, August 2012.Google Scholar"",""E. Casado, C. Goodchild, and M. Vilaplana. Identification and initial characterization of sources of uncertainty affecting the performance of future trajectory management automation systems. In Proceedings of the 2nd Int'l Conference on ATACCS, pages 170--175, Toulouse, France, May 2012. Google Scholar"",""G. Chatterji. Short-term trajectory prediction methods. In AIAA GNC Conference and Exhibit, Portland, OR, August 1999.Google Scholar"",""P. Y. Choi and M. Hebert. Learning and predicting moving object trajectory: a piecewise trajectory segment approach. Technical report, Carnegie Mellon University School of Computer Science, Pittsburgh, PA, August 2006.Google Scholar"",""E. Crisostomi, A. Lecchini-visintini, and J. Maciejowski. Combining monte carlo and worst-case methods for trajectory prediction in air traffic control: A case study. Journal of Guidance, Control and Dynamics, 43(4), 2008.Google Scholar"",""A. de Leege, M. van Paassen, and M. Mulder. A machine learning approach to trajectory prediction. In AIAA GNC Conference and Exhibit, Boston, MA, August 2013.Google Scholar"",""C. Esperança and H. Samet. Experience with SAND/Tcl: a scripting tool for spatial databases. Journal of Visual Languages and Computing, 13(2):229--255, April 2002.  Google Scholar"",""C. Gong and D. McNally. A methodology for automated trajectory prediction analysis. In AIAA GNC Conference and Exhibit, Providence, RI, August 2004.Google Scholar"",""R. H. Güting and M. Schneider. Realm-based spatial data types: The rose algebra. The VLDB Journal, 4(2):243--286, April 1995.  Google Scholar"",""E. Jacox and H. Samet. Metric space similarity joins. ACM Transactions on Database Systems, 33(2):7, June 2008.  Google Scholar"",""E. Keogh and C. A. Ratanamahatana. Exact indexing of dynamic time warping. Knowl. Inf. Syst., 7(3):358--386, March 2005.Google Scholar"",""J. Krozel and D. Andrisani. Intent inference and strategic path prediction. In AIAA GNC Conference and Exhibit, San Francisco, CA, August 2005.Google Scholar"",""Y. Liu and X. R. Li. Intent based trajectory prediction by multiple model prediction and smoothing. In AIAA GNC Conference and Exhibit, New Orleans, LA, January 2015.Google Scholar"",""I. Lymperopoulos, J. Lygeros, and A. Lecchini. Model based aircraft trajectory prediction during takeoff. In AIAA GNC Conference and Exhibit, Keystone, CO, August 2006.Google Scholar"",""S. Mondoloni. A genetic algorithm for determining optimal flight trajectories. In AIAA GNC Conference and Exhibit, Boston, MA, August 1998.Google Scholar"",""S. Mondoloni. A multiple-scale model of wind-prediction uncertainty and application to trajectory prediction. In 6th AIAA Aviation Technology, Integration and Operations Conference, Wichita, KS, September 2006.Google Scholar"",""K. T. Mueller, J. A. Sorensen, and G. J. Couluris. Strategic aircraft trajectory prediction uncertainty and statistical sector traffic load modeling. In AIAA GNC Conference and Exhibit, Monterey, CA, August 2012.Google Scholar"",""H. K. Ng, S. Grabbe, and A. Mukherjee. Design and evaluation of a dynamic programming flight routing algorithm using the convective weather avoidance model. In AIAA GNC Conference and Exhibit, Chicago, IL, August 2009.Google Scholar"",""S. Nutanong, E. H. Jacox, and H. Samet. An incremental Hausdorff distance calculation algorithm. PVLDB, 4(8):506--517, August 2011.  Google Scholar"",""S. Nutanong and H. Samet. Memory-efficient algorithms for spatial network queries. In Proceedings of the 29th IEEE Int'l Conference on Data Engineering, pages 649--660, Brisbane, Australia, April 2013.  Google Scholar"",""M. Paglione and R. Oaks. Implementation and metrics for a trajectory prediction validation methodology. In AIAA GNC Conference and Exhibit, Hilton Head, SC, August 2007.Google Scholar"",""S. Peng, J. Sankaranarayanan, and H. Samet. SPDO: High-throughput road distance computations on spark using distance oracles. In Proceedings of the 32nd IEEE Int'l Conference on Data Engineering, pages 1239--1250, Helsinki, Finland, May 2016.Google Scholar"",""L. R. Rabiner. Readings in speech recognition. chapter A Tutorial on Hidden Markov Models and Selected Applications in Speech Recognition, pages 267--296. Morgan Kaufmann, San Francisco, CA, 1990. Google Scholar"",""H. Ryan and M. Paglione. State vector based near term trajectory prediction. In AIAA GNC Conference and Exhibit, Honolulu, HI, 2008.Google Scholar"",""H. Samet, H. Alborzi, F. Brabec, C. Esperança, G. R. Hjaltason, F. Morgan, and E. Tanin. Use of the SAND spatial browser for digital government applications. Communications of the ACM, 46(1):63--66, January 2003.  Google Scholar"",""J. Sankaranarayanan, H. Alborzi, and H. Samet. Efficient query processing on spatial networks. In Proceedings of the 13th ACM Int'l Symposium on Advances in Geographic Information Systems, pages 200--209, Bremen, Germany, November 2005.  Google Scholar"",""J. Sankaranarayanan, H. Alborzi, and H. Samet. Distance join queries on spatial networks. In Proceedings of the 14th ACM Int'l Symposium on Advances in Geographic Information Systems, pages 211--218, Arlington, VA, November 2006.  Google Scholar"",""J. Sankaranarayanan and H. Samet. Distance oracles for spatial networks. In Proceedings of the 25th IEEE Int'l Conference on Data Engineering, pages 652--663, Shanghai, China, March 2009.  Google Scholar"",""J. Sankaranarayanan and H. Samet. Query processing using distance oracles for spatial networks. IEEE Transactions on Knowledge and Data Engineering, 22(8):1158--1175, August 2010.  Google Scholar"",""J. Sankaranarayanan and H. Samet. Roads belong in databases. IEEE Data Engineering Bulletin, 33(2):4--11, June 2010.Google Scholar"",""J. Sankaranarayanan, H. Samet, and H. Alborzi. Path oracles for spatial networks. PVLDB, 2(1):1210--1221, August 2009.  Google Scholar"",""C. Schultz, D. Thipphavong, and H. Erzberger. Adaptive trajectory prediction algorithm for climbing flights. In AIAA GNC Conference and Exhibit, Minneapolis, MN, August 2012.Google Scholar"",""T. Stewart, L. Askey, and M. Hokit. A concept for tactical reroute generation, evaluation and coordination. In 12th AIAA ATIO Conference and 14th AIAA/ISSMO Multidisciplinary Analysis and Optimization Conference, Indianapolis, IN, September 2012.Google Scholar"",""T. Stewart, J. DeArmon, and D. Chaloux. Using flight information to improve weather avoidance predictions. In Aviation Technology, Integration, and Operations Conference, Los Angeles, CA, August 2013.Google Scholar"",""S. Swierstra. Common trajectory prediction capability for decision support tools. In Proceedings of ATM 2003, 5th USA/Europa R\u0026D Seminar, Budapest, Hungary, June 2003.Google Scholar"",""C. P. Taylor and C. Wanke. Improved dynamic generation of operationally acceptable reroutes using network optimization. Journal of Guidance, Control, and Dynamics, 34(4):961--975, August 2011.Google Scholar"",""C. Tomlin, G. J. Pappas, and S. Sastry. Conflict resolution for air traffic management: A study in multiagent hybrid systems. IEEE Transactions on Intelligent Transportation Systems, 43(4):509--521, April 1998.Google Scholar"",""A. J. Viterbi. Error bounds for convolutional codes and an asymptotically optimum decoding algorithm. IEEE Transactions on Information Theory, 13(2):260--269, April 1967.  Google Scholar"",""L. F. Winder and J. K. Kuchar. Hazard Avoidance Alerting with Markov Decision Processes. PhD thesis, Department of Aeronautics and Astronautics, Massachusetts Institute of Technology, Cambridge, MA, August 2004.Google Scholar"",""J. L. Yepes, I. Hwang, and M. Rotea. An intent-based trajectory prediction algorithm for air traffic control. In AIAA GNC Conference and Exhibit, San Francisco, CA, August 2005.Google Scholar"",""J. L. Yepes, I. Hwang, and M. Rotea. New algorithms for aircraft intnet inference and trajectory prediction. Journal of Guidance, Control, and Dynamics, 30(2):370--382, March 2007.Google Scholar""]"
https://doi.org/10.1145/2939672.2939675,Matrix Computations and Optimization in Apache Spark,"We describe matrix computations available in the cluster programming framework, Apache Spark. Out of the box, Spark provides abstractions and implementations for distributed matrices and optimization routines using these matrices. When translating single-node algorithms to run on a distributed cluster, we observe that often a simple idea is enough: separating matrix operations from vector operations and shipping the matrix operations to be ran on the cluster, while keeping vector operations local to the driver. In the case of the Singular Value Decomposition, by taking this idea to an extreme, we are able to exploit the computational power of a cluster, while running code written decades ago for a single core. Another example is our Spark port of the popular TFOCS optimization package, originally built for MATLAB, which allows for solving Linear programs as well as a variety of other convex programs. We conclude with a comprehensive set of benchmarks for hardware accelerated matrix computations from the JVM, which is interesting in its own right, as many cluster programming frameworks use the JVM. The contributions described in this paper are already merged into Apache Spark and available on Spark installations by default, and commercially supported by a slew of companies which provide further services.","[{""name"":""Reza Bosagh Zadeh"",""id"":""/profile/83058904457""},{""name"":""Xiangrui Meng"",""id"":""/profile/99658717716""},{""name"":""Alexander Ulanov"",""id"":""/profile/81314486407""},{""name"":""Burak Yavuz"",""id"":""/profile/99659028706""},{""name"":""Li Pu"",""id"":""/profile/81551064356""},{""name"":""Shivaram Venkataraman"",""id"":""/profile/81502669778""},{""name"":""Evan Sparks"",""id"":""/profile/99658732581""},{""name"":""Aaron Staple"",""id"":""/profile/99659060500""},{""name"":""Matei Zaharia"",""id"":""/profile/81458653896""},{""name"":""Reza Bosagh Zadeh"",""id"":""/profile/83058904457""},{""name"":""Xiangrui Meng"",""id"":""/profile/99658717716""},{""name"":""Alexander Ulanov"",""id"":""/profile/81314486407""},{""name"":""Burak Yavuz"",""id"":""/profile/99659028706""},{""name"":""Li Pu"",""id"":""/profile/81551064356""},{""name"":""Shivaram Venkataraman"",""id"":""/profile/81502669778""},{""name"":""Evan Sparks"",""id"":""/profile/99658732581""},{""name"":""Aaron Staple"",""id"":""/profile/99659060500""},{""name"":""Matei Zaharia"",""id"":""/profile/81458653896""}]","[""Stephen R Becker, Emmanuel J Candès, and Michael C Grant. Templates for convex cone problems with applications to sparse signal recovery. Mathematical Programming Computation, 3(3):165--218, 2011.Google Scholar"",""Austin R Benson, David F Gleich, and James Demmel. Direct qr factorizations for tall-and-skinny matrices in mapreduce architectures. In Big Data, 2013 IEEE International Conference on, pages 264--272. IEEE, 2013.Google Scholar"",""L Susan Blackford, Jaeyoung Choi, Andy Cleary, Eduardo D'Azevedo, James Demmel, Inderjit Dhillon, Jack Dongarra, Sven Hammarling, Greg Henry, Antoine Petitet, et al. ScaLAPACK users' guide, volume 4. siam, 1997.Google Scholar"",""Weizhu Chen, Zhenghao Wang, and Jingren Zhou. Large-scale l-bfgs using mapreduce. In Advances in Neural Information Processing Systems, pages 1332--1340, 2014. Google Scholar"",""Jeffrey Dean and Sanjay Ghemawat. Mapreduce: simplified data processing on large clusters. Communications of the ACM, 51(1):107--113, 2008.  Google Scholar"",""Richard B Lehoucq, Danny C Sorensen, and Chao Yang. ARPACK users' guide: solution of large-scale eigenvalue problems with implicitly restarted Arnoldi methods, volume 6. Siam, 1998.Google Scholar"",""Xiangrui Meng, Joseph Bradley, Burak Yavuz, Evan Sparks, Shivaram Venkataraman, Davies Liu, Jeremy Freeman, DB Tsai, Manish Amde, Sean Owen, Doris Xin, Reynold Xin, Michael J. Franklin, Reza Zadeh, Matei Zaharia, and Ameet Talwalkar. Mllib: Machine learning in apache spark. arXiv preprint arXiv:1505.06807, 2015.Google Scholar"",""Brendan O'Donoghue and Emmanuel Candes. Adaptive restart for accelerated gradient schemes. Foundations of computational mathematics, 15(3):715--732, 2013.  Google Scholar"",""Reza Bosagh Zadeh. Large linear model parallelism via a join and reducebykey. https://issues.apache.org/jira/browse/SPARK-6567, 2015. Accessed: 2015-08-09.Google Scholar"",""Reza Bosagh Zadeh and Gunnar Carlsson. Dimension independent matrix square using mapreduce. In Foundations of Computer Science (FOCS 2013) - Poster, 2013.Google Scholar"",""Reza Bosagh Zadeh and Ashish Goel. Dimension independent similarity computation. The Journal of Machine Learning Research, 14(1):1605--1626, 2013. Google Scholar"",""Matei Zaharia, Mosharaf Chowdhury, Michael J Franklin, Scott Shenker, and Ion Stoica. Spark: cluster computing with working sets. In Proceedings of the 2nd USENIX conference on Hot topics in cloud computing, volume 10, page 10, 2010. Google Scholar"",""Ciyou Zhu, Richard H Byrd, Peihuang Lu, and Jorge Nocedal. Algorithm 778: L-bfgs-b: Fortran subroutines for large-scale bound-constrained optimization. ACM Transactions on Mathematical Software (TOMS), 23(4):550--560, 1997.  Google Scholar""]"
https://doi.org/10.1145/2939672.2939699,Predicting Disk Replacement towards Reliable Data Centers,"Disks are among the most frequently failing components in today's IT environments. Despite a set of defense mechanisms such as RAID, the availability and reliability of the system are still often impacted severely. In this paper, we present a highly accurate SMART-based analysis pipeline that can correctly predict the necessity of a disk replacement even 10-15 days in advance. Our method has been built and evaluated on more than 30000 disks from two major manufacturers, monitored over 17 months. Our approach employs statistical techniques to automatically detect which SMART parameters correlate with disk replacement and uses them to predict the replacement of a disk with even 98% accuracy.","[{""name"":""Mirela Madalina Botezatu"",""id"":""/profile/99658733847""},{""name"":""Ioana Giurgiu"",""id"":""/profile/81448593881""},{""name"":""Jasmina Bogojeska"",""id"":""/profile/81421598375""},{""name"":""Dorothea Wiesmann"",""id"":""/profile/81340493552""},{""name"":""Mirela Madalina Botezatu"",""id"":""/profile/99658733847""},{""name"":""Ioana Giurgiu"",""id"":""/profile/81448593881""},{""name"":""Jasmina Bogojeska"",""id"":""/profile/81421598375""},{""name"":""Dorothea Wiesmann"",""id"":""/profile/81340493552""}]","[""Data center downtime costs. http://www.emerson.com/en-us/News/Pages/Net-Power-Study-Data-Center.aspx.Google Scholar"",""Hard drive smart stats. https://www.backblaze.com/blog/hard-drive-smart-stats/.Google Scholar"",""IBM system storagetextDS8000 architecture and implementation. http://www.redbooks.ibm.com/redbooks/pdfs/sg248886.pdf.Google Scholar"",""S.M.A.R.T. https://en.wikipedia.org/wiki/S.M.A.R.T.Google Scholar"",""V. Agarwal, C. Bhattacharyya, T. Niranjan, and S. Susarla. Discovering rules from disk events for predicting hard drive failures. ICMLA '09, pages 782--786, Dec 2009.  Google Scholar"",""L. Breiman. Random forests. Machine Learning, 45(1):5--32.  Google Scholar"",""K. H. Brodersen, F. Gallusser, J. Koehler, N. Remy, and S. L. Scott. Inferring causal impact using bayesian structural time-series models. Annals of Applied Statistics, 9:247--274, 2015.Google Scholar"",""C. J. C. Burges. A tutorial on support vector machines for pattern recognition. Data Min. Knowl. Discov., 2(2):121--167, June 1998.  Google Scholar"",""D. R. Cox. The regression analysis of binary sequences (with discussion). J Roy Stat Soc B, 20:215--242, 1958.Google Scholar"",""J. Elerath and S. Shah. Server class disk drives: how reliable are they? In Reliability and Maintainability, 2004 Annual Symposium - RAMS, pages 151--156.Google Scholar"",""G. Hamerly and C. Elkan. Bayesian approaches to failure prediction for disk drives. ICML '01, pages 202--209, San Francisco, CA, USA, 2001. Morgan Kaufmann Publishers Inc. Google Scholar"",""How does S.M.A.R.T. function of hard disks work? www.hdsentinel.com/smart/index.php.Google Scholar"",""G. F. Hughes, J. F. Murray, K. Kreutz-Delgado, and C. Elkan. Improved disk-drive failure warnings. IEEE Transactions on Reliability, 51(3):350--357, 2002.Google Scholar"",""R. Johnson and T. Zhang. Learning nonlinear functions using regularized greedy forest. IEEE Transactions on Pattern Analysis and Machine Intelligence, 36(5):942--954, May 2014.Google Scholar"",""J. Macqueen. Some methods for classification and analysis of multivariate observations. In Berkeley Symposium on Mathematical Statistics and Probability, pages 281--297, 1967.Google Scholar"",""J. F. Murray, G. F. Hughes, and D. Schuurmans. Machine learning methods for predicting failures in hard drives: A multiple-instance application. Journal of Machine Learning research, 6:816, 2005. Google Scholar"",""E. Pinheiro, W.-D. Weber, and L. A. Barroso. Failure trends in a large disk drive population. FAST 2007, Berkeley, CA, USA, 2007. USENIX Association. Google Scholar"",""B. Schroeder and G. A. Gibson. Disk failures in the real world: What does an mttf of 1,000,000 hours mean to you? FAST 2007, Berkeley, CA, USA, 2007. USENIX Association. Google Scholar"",""Y. Tan and X. Gu. On predictability of system anomalies in real world. In IEEE MASCOTS, 2010, pages 133--140, Aug 2010.  Google Scholar"",""G. M. Weiss and H. Hirsh. Learning to predict rare events in event sequences. In KDD 1998, pages 359--363. AAAI Press, 1998.Google Scholar"",""J. Ye, J.-H. Chow, J. Chen, and Z. Zheng. Stochastic gradient boosted distributed decision trees. CIKM 2009, pages 2061--2064. ACM, 2009.  Google Scholar""]"
