link,title
https://dl.acm.org/doi/10.1145/3394486.3407096,AI for Intelligent Financial Services: Examples and Discussion.
https://dl.acm.org/doi/10.1145/3394486.3407093,Keynote Speaker: Emery N. Brown.
https://dl.acm.org/doi/10.1145/3394486.3407094,Keynote Speaker: Yolanda Gil.
https://dl.acm.org/doi/10.1145/3394486.3407097,Keynote Speaker: Alessandro Vespignani.
https://dl.acm.org/doi/10.1145/3394486.3403043,Learning Effective Road Network Representation with Hierarchical Graph Neural Networks.
https://dl.acm.org/doi/10.1145/3394486.3403044,Interpretability is a Kind of Safety: An Interpreter-based Ensemble for Adversary Defense.
https://dl.acm.org/doi/10.1145/3394486.3403045,Higher-order Clustering in Complex Heterogeneous Networks.
https://dl.acm.org/doi/10.1145/3394486.3403046,Preserving Dynamic Attention for Long-Term Spatial-Temporal Prediction.
https://dl.acm.org/doi/10.1145/3394486.3403047,Learning to Extract Attribute Value from Product via Question Answering: A Multi-task Approach.
https://dl.acm.org/doi/10.1145/3394486.3403048,Kernel Assisted Learning for Personalized Dose Finding.
https://dl.acm.org/doi/10.1145/3394486.3403049,Graph Structure Learning for Robust Graph Neural Networks.
https://dl.acm.org/doi/10.1145/3394486.3403050,An Efficient Neighborhood-based Interaction Model for Recommendation on Heterogeneous Graph.
https://dl.acm.org/doi/10.1145/3394486.3403051,Directional Multivariate Ranking.
https://dl.acm.org/doi/10.1145/3394486.3403052,Truth Discovery against Strategic Sybil Attack in Crowdsourcing.
https://dl.acm.org/doi/10.1145/3394486.3403053,Partial Multi-Label Learning via Probabilistic Graph Matching Mechanism.
https://dl.acm.org/doi/10.1145/3394486.3403054,Spectrum-Guided Adversarial Disparity Learning.
https://dl.acm.org/doi/10.1145/3394486.3403055,Attention and Memory-Augmented Networks for Dual-View Sequential Learning.
https://dl.acm.org/doi/10.1145/3394486.3403056,Semantic Search in Millions of Equations.
https://dl.acm.org/doi/10.1145/3394486.3403057,SSumM: Sparse Summarization of Massive Graphs.
https://dl.acm.org/doi/10.1145/3394486.3403058,Rethinking Pruning for Accelerating Deep Inference At the Edge.
https://dl.acm.org/doi/10.1145/3394486.3403059,Compositional Embeddings Using Complementary Partitions for Memory-Efficient Recommendation Systems.
https://dl.acm.org/doi/10.1145/3394486.3403060,Structural Patterns and Generative Models of Real-world Hypergraphs.
https://dl.acm.org/doi/10.1145/3394486.3403061,Efficient Algorithm for the b-Matching Graph.
https://dl.acm.org/doi/10.1145/3394486.3403062,Isolation Distributional Kernel: A New Tool for Kernel based Anomaly Detection.
https://dl.acm.org/doi/10.1145/3394486.3403063,NodeAug: Semi-Supervised Node Classification with Data Augmentation.
https://dl.acm.org/doi/10.1145/3394486.3403064,An Embarrassingly Simple Approach for Trojan Attack in Deep Neural Networks.
https://dl.acm.org/doi/10.1145/3394486.3403065,Kronecker Attention Networks.
https://dl.acm.org/doi/10.1145/3394486.3403066,GRACE: Generating Concise and Informative Contrastive Sample to Explain Neural Network Model's Prediction.
https://dl.acm.org/doi/10.1145/3394486.3403067,Hierarchical Attention Propagation for Healthcare Representation Learning.
https://dl.acm.org/doi/10.1145/3394486.3403068,SCE: Scalable Network Embedding from Sparsest Cut.
https://dl.acm.org/doi/10.1145/3394486.3403069,Local Community Detection in Multiple Networks.
https://dl.acm.org/doi/10.1145/3394486.3403070,A Block Decomposition Algorithm for Sparse Optimization.
https://dl.acm.org/doi/10.1145/3394486.3403071,Adversarial Infidelity Learning for Model Interpretation.
https://dl.acm.org/doi/10.1145/3394486.3403072,Grounding Visual Concepts for Zero-Shot Event Detection and Event Captioning.
https://dl.acm.org/doi/10.1145/3394486.3403073,"How to Count Triangles, without Seeing the Whole Graph."
https://dl.acm.org/doi/10.1145/3394486.3403074,Incremental Lossless Graph Summarization.
https://dl.acm.org/doi/10.1145/3394486.3403075,From Online to Non-i.i.d. Batch Learning.
https://dl.acm.org/doi/10.1145/3394486.3403076,Towards Deeper Graph Neural Networks.
https://dl.acm.org/doi/10.1145/3394486.3403077,Laplacian Change Point Detection for Dynamic Graphs.
https://dl.acm.org/doi/10.1145/3394486.3403078,Learning Transferrable Parameters for Long-tailed Sequential User Behavior Modeling.
https://dl.acm.org/doi/10.1145/3394486.3403079,TranSlider: Transfer Ensemble Learning from Exploitation to Exploration.
https://dl.acm.org/doi/10.1145/3394486.3403080,InFoRM: Individual Fairness on Graph Mining.
https://dl.acm.org/doi/10.1145/3394486.3403081,Local Motif Clustering on Time-Evolving Graphs.
https://dl.acm.org/doi/10.1145/3394486.3403082,A Data-Driven Graph Generative Model for Temporal Interaction Networks.
https://dl.acm.org/doi/10.1145/3394486.3403083,Recurrent Networks for Guided Multi-Attention Classification.
https://dl.acm.org/doi/10.1145/3394486.3403084,Vulnerability vs. Reliability: Disentangled Adversarial Examples for Cross-Modal Learning.
https://dl.acm.org/doi/10.1145/3394486.3403085,XGNN: Towards Model-Level Explanations of Graph Neural Networks.
https://dl.acm.org/doi/10.1145/3394486.3403086,CAST: A Correlation-based Adaptive Spectral Clustering Algorithm on Multi-scale Data.
https://dl.acm.org/doi/10.1145/3394486.3403087,INPREM: An Interpretable and Trustworthy Predictive Model for Healthcare.
https://dl.acm.org/doi/10.1145/3394486.3403088,Policy-GNN: Aggregation Optimization for Graph Neural Networks.
https://dl.acm.org/doi/10.1145/3394486.3403089,Malicious Attacks against Deep Reinforcement Learning Interpretations.
https://dl.acm.org/doi/10.1145/3394486.3403091,Disentangled Self-Supervision in Sequential Recommenders.
https://dl.acm.org/doi/10.1145/3394486.3403092,DETERRENT: Knowledge Guided Graph Attention Network for Detecting Healthcare Misinformation.
https://dl.acm.org/doi/10.1145/3394486.3403093,MultiImport: Inferring Node Importance in a Knowledge Graph from Multiple Input Signals.
https://dl.acm.org/doi/10.1145/3394486.3403094,Geodesic Forests.
https://dl.acm.org/doi/10.1145/3394486.3403095,Z-Miner: An Efficient Method for Mining Frequent Arrangements of Event Intervals.
https://dl.acm.org/doi/10.1145/3394486.3403096,Imputing Various Incomplete Attributes via Distance Likelihood Maximization.
https://dl.acm.org/doi/10.1145/3394486.3403097,WeightGrad: Geo-Distributed Data Analysis Using Quantization for Faster Convergence and Better Accuracy.
https://dl.acm.org/doi/10.1145/3394486.3403098,Feature-Induced Manifold Disambiguation for Multi-View Partial Multi-label Learning.
https://dl.acm.org/doi/10.1145/3394486.3403099,MinSearch: An Efficient Algorithm for Similarity Search under Edit Distance.
https://dl.acm.org/doi/10.1145/3394486.3403100,Mining Large Quasi-cliques with Quality Guarantees from Vertex Neighborhoods.
https://dl.acm.org/doi/10.1145/3394486.3403101,Residual Correlation in Graph Neural Network Regression.
https://dl.acm.org/doi/10.1145/3394486.3403102,Towards Fair Truth Discovery from Biased Crowdsourced Answers.
https://dl.acm.org/doi/10.1145/3394486.3403103,AutoShuffleNet: Learning Permutation Matrices via an Exact Lipschitz Continuous Penalty in Deep Convolutional Neural Networks.
https://dl.acm.org/doi/10.1145/3394486.3403104,MoFlow: An Invertible Flow Model for Generating Molecular Graphs.
https://dl.acm.org/doi/10.1145/3394486.3403105,Parallel DNN Inference Framework Leveraging a Compact RISC-V ISA-based Multi-core System.
https://dl.acm.org/doi/10.1145/3394486.3403106,Missing Value Imputation for Mixed Data via Gaussian Copula.
https://dl.acm.org/doi/10.1145/3394486.3403107,HiTANet: Hierarchical Time-Aware Attention Networks for Risk Prediction on Electronic Health Records.
https://dl.acm.org/doi/10.1145/3394486.3403108,"Personalized PageRank to a Target Node, Revisited."
https://dl.acm.org/doi/10.1145/3394486.3403109,Edge-consensus Learning: Deep Learning on P2P Networks with Nonhomogeneous Data.
https://dl.acm.org/doi/10.1145/3394486.3403110,Deep Learning of High-Order Interactions for Protein Interface Prediction.
https://dl.acm.org/doi/10.1145/3394486.3403113,MAMO: Memory-Augmented Meta-Optimization for Cold-start Recommendation.
https://dl.acm.org/doi/10.1145/3394486.3403114,Finding Effective Geo-social Group for Impromptu Activities with Diverse Demands.
https://dl.acm.org/doi/10.1145/3394486.3403115,Representing Temporal Attributes for Schema Matching.
https://dl.acm.org/doi/10.1145/3394486.3403116,Estimating Properties of Social Networks via Random Walk considering Private Nodes.
https://dl.acm.org/doi/10.1145/3394486.3403117,ASGN: An Active Semi-supervised Graph Neural Network for Molecular Property Prediction.
https://dl.acm.org/doi/10.1145/3394486.3403118,Connecting the Dots: Multivariate Time Series Forecasting with Graph Neural Networks.
https://dl.acm.org/doi/10.1145/3394486.3403119,Learning Opinion Dynamics From Social Traces.
https://dl.acm.org/doi/10.1145/3394486.3403120,Enterprise Cooperation and Competition Analysis with a Sign-Oriented Preference Network.
https://dl.acm.org/doi/10.1145/3394486.3403121,BLOB: A Probabilistic Model for Recommendation that Combines Organic and Bandit Signals.
https://dl.acm.org/doi/10.1145/3394486.3403122,AutoST: Efficient Neural Architecture Search for Spatio-Temporal Prediction.
https://dl.acm.org/doi/10.1145/3394486.3403123,COMPOSE: Cross-Modal Pseudo-Siamese Network for Patient Trial Matching.
https://dl.acm.org/doi/10.1145/3394486.3403124,Discovering Succinct Pattern Sets Expressing Co-Occurrence and Mutual Exclusivity.
https://dl.acm.org/doi/10.1145/3394486.3403125,TIPRDC: Task-Independent Privacy-Respecting Data Crowdsourcing Framework for Deep Learning with Anonymized Intermediate Representations.
https://dl.acm.org/doi/10.1145/3394486.3403126,AutoGrow: Automatic Layer Growing in Deep Convolutional Networks.
https://dl.acm.org/doi/10.1145/3394486.3403127,Curb-GAN: Conditional Urban Traffic Estimation through Spatio-Temporal Generative Adversarial Networks.
https://dl.acm.org/doi/10.1145/3394486.3403128,Incremental Mobile User Profiling: Reinforcement Learning with Spatial Knowledge Graph for Modeling Event Streams.
https://dl.acm.org/doi/10.1145/3394486.3403129,Identifying Sepsis Subphenotypes via Time-Aware Multi-Modal Auto-Encoder.
https://dl.acm.org/doi/10.1145/3394486.3403130,A Causal Look at Statistical Definitions of Discrimination.
https://dl.acm.org/doi/10.1145/3394486.3403131,Targeted Data-driven Regularization for Out-of-Distribution Generalization.
https://dl.acm.org/doi/10.1145/3394486.3403132,Neural Dynamics on Complex Networks.
https://dl.acm.org/doi/10.1145/3394486.3403133,Grammatically Recognizing Images with Tree Convolution.
https://dl.acm.org/doi/10.1145/3394486.3403134,Generic Outlier Detection in Multi-Armed Bandit.
https://dl.acm.org/doi/10.1145/3394486.3403135,Robust Spammer Detection by Nash Reinforcement Learning.
https://dl.acm.org/doi/10.1145/3394486.3403136,Mining Persistent Activity in Continually Evolving Networks.
https://dl.acm.org/doi/10.1145/3394486.3403137,Towards Automated Neural Interaction Discovery for Click-Through Rate Prediction.
https://dl.acm.org/doi/10.1145/3394486.3403138,High-Dimensional Similarity Search with Quantum-Assisted Variational Autoencoder.
https://dl.acm.org/doi/10.1145/3394486.3403139,Off-policy Bandits with Deficient Support.
https://dl.acm.org/doi/10.1145/3394486.3403140,Adaptive Graph Encoder for Attributed Graph Embedding.
https://dl.acm.org/doi/10.1145/3394486.3403141,NetTrans: Neural Cross-Network Transformation.
https://dl.acm.org/doi/10.1145/3394486.3403142,Redundancy-Free Computation for Graph Neural Networks.
https://dl.acm.org/doi/10.1145/3394486.3403143,Improving Conversational Recommender Systems via Knowledge Graph based Semantic Fusion.
https://dl.acm.org/doi/10.1145/3394486.3403144,Sliding Sketches: A Framework using Time Zones for Data Stream Processing in Sliding Windows.
https://dl.acm.org/doi/10.1145/3394486.3403145,STEAM: Self-Supervised Taxonomy Expansion with Mini-Paths.
https://dl.acm.org/doi/10.1145/3394486.3403147,Probabilistic Metric Learning with Adaptive Margin for Top-K Recommendation.
https://dl.acm.org/doi/10.1145/3394486.3403148,Re-identification Attack to Privacy-Preserving Data Analysis with Noisy Sample-Mean.
https://dl.acm.org/doi/10.1145/3394486.3403149,BOND: BERT-Assisted Open-Domain Named Entity Recognition with Distant Supervision.
https://dl.acm.org/doi/10.1145/3394486.3403150,Graph Structural-topic Neural Network.
https://dl.acm.org/doi/10.1145/3394486.3403151,Correlation Networks for Extreme Multi-label Text Classification.
https://dl.acm.org/doi/10.1145/3394486.3403152,Predicting Temporal Sets with Deep Neural Networks.
https://dl.acm.org/doi/10.1145/3394486.3403153,FreeDOM: A Transferable Neural Architecture for Structured Information Extraction on Web Documents.
https://dl.acm.org/doi/10.1145/3394486.3403154,SEAL: Learning Heuristics for Community Detection with Generative Adversarial Networks.
https://dl.acm.org/doi/10.1145/3394486.3403164,Matrix Profile XXI: A Geometric Approach to Time Series Chains Improves Robustness.
https://dl.acm.org/doi/10.1145/3394486.3403165,Retrospective Loss: Looking Back to Improve Training of Deep Neural Networks.
https://dl.acm.org/doi/10.1145/3394486.3403166,Average Sensitivity of Spectral Clustering.
https://dl.acm.org/doi/10.1145/3394486.3403167,Semi-Supervised Multi-Label Learning from Crowds via Deep Sequential Generative Model.
https://dl.acm.org/doi/10.1145/3394486.3403168,GCC: Graph Contrastive Coding for Graph Neural Network Pre-Training.
https://dl.acm.org/doi/10.1145/3394486.3403169,HGCN: A Heterogeneous Graph Convolutional Network-Based Deep Learning Model Toward Collective Classification.
https://dl.acm.org/doi/10.1145/3394486.3403170,Handling Information Loss of Graph Neural Networks for Session-based Recommendation.
https://dl.acm.org/doi/10.1145/3394486.3403171,Ultrafast Local Outlier Detection from a Data Stream with Stationary Region Skipping.
https://dl.acm.org/doi/10.1145/3394486.3403172,LayoutLM: Pre-training of Text and Layout for Document Image Understanding.
https://dl.acm.org/doi/10.1145/3394486.3403173,Block Model Guided Unsupervised Feature Selection.
https://dl.acm.org/doi/10.1145/3394486.3403174,Data Compression as a Comprehensive Framework for Graph Drawing and Representation Learning.
https://dl.acm.org/doi/10.1145/3394486.3403175,Joint Policy-Value Learning for Recommendation.
https://dl.acm.org/doi/10.1145/3394486.3403176,FedFast: Going Beyond Average for Faster Training of Federated Recommender Systems.
https://dl.acm.org/doi/10.1145/3394486.3403177,AM-GCN: Adaptive Multi-channel Graph Convolutional Networks.
https://dl.acm.org/doi/10.1145/3394486.3403178,Discovering Approximate Functional Dependencies using Smoothed Mutual Information.
https://dl.acm.org/doi/10.1145/3394486.3403179,Competitive Analysis for Points of Interest.
https://dl.acm.org/doi/10.1145/3394486.3403180,HOPS: Probabilistic Subtree Mining for Small and Large Graphs.
https://dl.acm.org/doi/10.1145/3394486.3403181,The NodeHopper: Enabling Low Latency Ranking with Constraints via a Fast Dual Solver.
https://dl.acm.org/doi/10.1145/3394486.3403182,HGMF: Heterogeneous Graph-based Fusion for Multimodal Data with Incompleteness.
https://dl.acm.org/doi/10.1145/3394486.3403183,ST-SiameseNet: Spatio-Temporal Siamese Networks for Human Mobility Signature Identification.
https://dl.acm.org/doi/10.1145/3394486.3403184,A Novel Deep Learning Model by Stacking Conditional Restricted Boltzmann Machine and Deep Neural Network.
https://dl.acm.org/doi/10.1145/3394486.3403185,InfiniteWalk: Deep Network Embeddings as Laplacian Embeddings with a Nonlinearity.
https://dl.acm.org/doi/10.1145/3394486.3403186,xGAIL: Explainable Generative Adversarial Imitation Learning for Explainable Human Decision Analysis.
https://dl.acm.org/doi/10.1145/3394486.3403187,Catalysis Clustering with GAN by Incorporating Domain Knowledge.
https://dl.acm.org/doi/10.1145/3394486.3403188,Prediction and Profiling of Audience Competition for Online Television Series.
https://dl.acm.org/doi/10.1145/3394486.3403189,Multi-Class Data Description for Out-of-distribution Detection.
https://dl.acm.org/doi/10.1145/3394486.3403190,In and Out: Optimizing Overall Interaction in Probabilistic Graphs under Clustering Constraints.
https://dl.acm.org/doi/10.1145/3394486.3403191,Recurrent Halting Chain for Early Multi-label Classification.
https://dl.acm.org/doi/10.1145/3394486.3403192,Minimal Variance Sampling with Provable Guarantees for Fast Training of Graph Neural Networks.
https://dl.acm.org/doi/10.1145/3394486.3403193,Discovering Functional Dependencies from Mixed-Type Data.
https://dl.acm.org/doi/10.1145/3394486.3403194,Attackability Characterization of Adversarial Evasion Attack on Discrete Data.
https://dl.acm.org/doi/10.1145/3394486.3403195,The Spectral Zoo of Networks: Embedding and Visualizing Networks with Spectral Moments.
https://dl.acm.org/doi/10.1145/3394486.3403196,Unsupervised Differentiable Multi-aspect Network Embedding.
https://dl.acm.org/doi/10.1145/3394486.3403197,AutoML Pipeline Selection: Efficiently Navigating the Combinatorial Space.
https://dl.acm.org/doi/10.1145/3394486.3403198,Towards Physics-informed Deep Learning for Turbulent Flow Prediction.
https://dl.acm.org/doi/10.1145/3394486.3403199,Evaluating Fairness Using Permutation Tests.
