link,title
https://doi.org/10.1109/TKDE.2018.2880192,A Semi-Supervised Approach to Message Stance Classification.
https://doi.org/10.1109/TKDE.2018.2879863,An Attribute-Specific Ranking Method Based on Language Models for Keyword Search over Graphs.
https://doi.org/10.1109/TKDE.2018.2879819,Answering Why-Not Group Spatial Keyword Queries.
https://doi.org/10.1109/TKDE.2018.2880743,DAG: A General Model for Privacy-Preserving Data Mining.
https://doi.org/10.1109/TKDE.2018.2878698,Deep Private-Feature Extraction.
https://doi.org/10.1109/TKDE.2018.2880971,Enhanced Graph Transforming V2 Algorithm for Non-Simple Graph in Big Data Pre-Processing.
https://doi.org/10.1109/TKDE.2018.2880976,Finding Critical Users in Social Communities: The Collapsed Core and Truss Problems.
https://doi.org/10.1109/TKDE.2018.2879862,GAT: A Unified GPU-Accelerated Framework for Processing Batch Trajectory Queries.
https://doi.org/10.1109/TKDE.2018.2880215,Massively Distributed Time Series Indexing and Querying.
https://doi.org/10.1109/TKDE.2018.2879796,Recurrent Poisson Factorization for Temporal Recommendation.
https://doi.org/10.1109/TKDE.2018.2881185,Reducing Uncertainty of Schema Matching via Crowdsourcing with Accuracy Rates.
https://doi.org/10.1109/TKDE.2018.2879079,Scalable Detection of Crowd Motion Patterns.
https://doi.org/10.1109/TKDE.2018.2879797,Semi-Supervised Feature Selection via Sparse Rescaled Linear Square Regression.
https://doi.org/10.1109/TKDE.2018.2881675,Sequence Pattern Mining with Variables.
https://doi.org/10.1109/TKDE.2018.2878765,VR-SGD: A Simple Stochastic Variance Reduction Method for Machine Learning.
https://doi.org/10.1109/TKDE.2018.2883938,An Efficient Destination Prediction Approach Based on Future Trajectory Prediction and Transition Matrix Optimization.
https://doi.org/10.1109/TKDE.2018.2882404,Anomaly Detection Using Local Kernel Density Estimation and Context-Based Regression.
https://doi.org/10.1109/TKDE.2018.2883616,BRIGHT - Drift-Aware Demand Predictions for Taxi Networks.
https://doi.org/10.1109/TKDE.2018.2884467,Conversion Prediction from Clickstream: Modeling Market Prediction and Customer Predictability.
https://doi.org/10.1109/TKDE.2018.2884466,Design and Implementation of SSD-Assisted Backup and Recovery for Database Systems.
https://doi.org/10.1109/TKDE.2018.2883103,Enriching Data Imputation under Similarity Rule Constraints.
https://doi.org/10.1109/TKDE.2018.2882197,"Fast and Low Memory Cost Matrix Factorization: Algorithm, Analysis, and Case Study."
https://doi.org/10.1109/TKDE.2018.2883446,Learning to Weight for Text Classification.
https://doi.org/10.1109/TKDE.2018.2881260,MV-RNN: A Multi-View Recurrent Neural Network for Sequential Recommendation.
https://doi.org/10.1109/TKDE.2018.2881435,QuickPoint: Efficiently Identifying Densest Sub-Graphs in Online Social Networks for Event Stream Dissemination.
https://doi.org/10.1109/TKDE.2018.2883532,r-HUMO: A Risk-Aware Human-Machine Cooperation Framework for Entity Resolution with Quality Guarantees.
https://doi.org/10.1109/TKDE.2018.2884471,Scalable Dynamic Graph Summarization.
https://doi.org/10.1109/TKDE.2018.2883613,Training Simplification and Model Simplification for Deep Learning : A Minimal Effort Back Propagation Method.
https://doi.org/10.1109/TKDE.2018.2881956,XINA: Explainable Instance Alignment Using Dominance Relationship.
https://doi.org/10.1109/TKDE.2019.2899355,Simple Statistics Are Sometime Too Simple: A Case Study in Social Media Data.
https://doi.org/10.1109/TKDE.2018.2886189,A Transformation-Based Framework for KNN Set Similarity Search.
https://doi.org/10.1109/TKDE.2019.2891565,ChronoGraph: Enabling Temporal Graph Traversals for Efficient Information Diffusion Analysis over Time.
https://doi.org/10.1109/TKDE.2018.2878247,Deep Inductive Graph Representation Learning.
https://doi.org/10.1109/TKDE.2018.2879658,Dynamic Connection-Based Social Group Recommendation.
https://doi.org/10.1109/TKDE.2019.2891537,Flow Prediction in Spatio-Temporal Networks Based on Multitask Deep Learning.
https://doi.org/10.1109/TKDE.2018.2885749,Learning New Words from Keystroke Data with Local Differential Privacy.
https://doi.org/10.1109/TKDE.2018.2885520,Personalized Video Recommendation Using Rich Contents from Videos.
https://doi.org/10.1109/TKDE.2018.2880448,"Re-Revisiting Learning on Hypergraphs: Confidence Interval, Subgradient Method, and Extension to Multiclass."
https://doi.org/10.1109/TKDE.2018.2884714,SAL-Hashing: A Self-Adaptive Linear Hashing Index for SSDs.
https://doi.org/10.1109/TKDE.2018.2884724,Scheduling Resources to Multiple Pipelines of One Query in a Main Memory Database Cluster.
https://doi.org/10.1109/TKDE.2018.2889664,Unlocking Author Power: On the Exploitation of Auxiliary Author-Retweeter Relations for Predicting Key Retweeters.
